,formulas,rmse,pearson_coeff,pval
105,(EA_A + EA_B**3)/(exp(Z_B)),0.211800526785738,-0.02822782836773071,0.8012421574720107
106,(EA_A + EA_B**3)/(exp(rp_A)),0.2100389621924575,0.10030900198377668,0.3699023691208473
107,(EA_A + EA_B**3)/(exp(rp_B)),0.1870411309833812,0.3475056963178506,0.001379985116328687
108,(EA_A + EA_B**3)/(exp(rs_A)),0.2036985376137047,0.21197832400297362,0.05589354420055585
109,(EA_A + EA_B**3)/(exp(rs_B)),0.1838409293223102,0.3703737302279958,0.0006146772640503952
110,(EA_A + EA_B**3)/(sqrt(fabs(EA_A))),0.1674562397609177,0.46603408477244807,1.0222192931781104e-05
111,(EA_A + EA_B**3)/(sqrt(fabs(EA_B))),0.1731088785624003,0.4378762768076826,3.8884514235804535e-05
112,(EA_A + EA_B**3)/(sqrt(fabs(IP_A))),0.1746641667135317,0.42626734600401095,6.523730463211905e-05
113,(EA_A + EA_B**3)/(sqrt(fabs(IP_B))),0.1724393119155463,0.44146195926608445,3.301408984819207e-05
114,(EA_A + EA_B**3)/(sqrt(fabs(Z_A))),0.2011137903161677,0.2319765333784814,0.035985941182899946
115,(EA_A + EA_B**3)/(sqrt(fabs(Z_B))),0.1888165140782272,0.333042734157301,0.0022332708985662174
116,(EA_A + EA_B**3)/(sqrt(fabs(rp_A))),0.1859075350569941,0.3606060551963613,0.0008746555355868249
117,(EA_A + EA_B**3)/(sqrt(fabs(rp_B))),0.1850151896061151,0.36254759133326775,0.0008161471321698339
118,(EA_A + EA_B**3)/(sqrt(fabs(rs_A))),0.1851315343432257,0.3667892899782854,0.0007005211857880821
119,(EA_A + EA_B**3)/(sqrt(fabs(rs_B))),0.1826385847898283,0.37868443534482166,0.0004513200625867682
120,(EA_A + IP_B)/((EA_A**2)),0.1859880954326368,-0.39499125174979594,0.00024027441615796395
121,(EA_A + IP_B)/((EA_A**3)),0.1711629284143169,0.46959404055162624,8.560004827347195e-06
122,(EA_A + IP_B)/((EA_B**2)),0.1611243334672891,-0.5551494850847725,6.207160160338705e-08
123,(EA_A + IP_B)/((EA_B**3)),0.1682342672877482,0.5316217283864737,2.7593723743133205e-07
124,(EA_A + IP_B)/((IP_A**2)),0.1816763843833313,0.38762104568235933,0.0003207757729770184
125,(EA_A + IP_B)/((IP_A**3)),0.1852752279776973,-0.36220974086681634,0.0008260650536348351
126,(EA_A + IP_B)/((IP_B**2)),0.2016870583207865,-0.21382459044093907,0.05374192276960001
127,(EA_A + IP_B)/((IP_B**3)),0.2034614755559244,0.1905240145432156,0.08643230166645882
128,(EA_A + IP_B)/((Z_A**2)),0.2110835833121914,-0.16542601163084616,0.13747679612694932
129,(EA_A + IP_B)/((Z_A**3)),0.2115818796910581,-0.08633150825321123,0.4405854950534908
130,(EA_A + IP_B)/((Z_B**2)),0.2014424348031669,-0.2912322729741619,0.007941658981172179
131,(EA_A + IP_B)/((Z_B**3)),0.1912954753460005,-0.3803532361469434,0.00042375367905306635
132,(EA_A + IP_B)/((rp_A**2)),0.02120620035560527,-0.9474887987686629,2.2958283523422755e-41
133,(EA_A + IP_B)/((rp_A**3)),0.03508750177440382,-0.9327870235720017,3.341591147664318e-37
134,(EA_A + IP_B)/((rp_B**2)),0.2077662489806069,0.10924005035811724,0.32859288276143495
135,(EA_A + IP_B)/((rp_B**3)),0.2068946451549409,0.12297714527431744,0.27103003205794823
136,(EA_A + IP_B)/((rs_A**2)),0.05319750830007397,-0.8779247991820001,2.607622678197267e-27
137,(EA_A + IP_B)/((rs_A**3)),0.02343512614072023,-0.941896456171309,1.1789932846105447e-39
138,(EA_A + IP_B)/((rs_B**2)),0.2068399412761269,0.12821430747470797,0.250988722585621
139,(EA_A + IP_B)/((rs_B**3)),0.2063807654437773,0.13351075896887246,0.23177731488710046
